z_center	theta_center	count	angle_type
-29.740736	30.608224	1324	theta2
-29.740736	34.207712	1559	theta2
-29.740736	37.807199	1702	theta2
-29.740736	41.406687	1854	theta2
-29.740736	45.006175	1946	theta2
-29.740736	48.605662	2175	theta2
-29.740736	52.205150	2300	theta2
-29.740736	55.804637	2474	theta2
-29.740736	59.404125	2635	theta2
-29.740736	63.003613	2656	theta2
-29.740736	66.603100	2775	theta2
-29.740736	70.202588	2746	theta2
-29.740736	73.802075	3000	theta2
-29.740736	77.401563	2955	theta2
-29.740736	81.001051	2995	theta2
-29.740736	84.600538	3081	theta2
-29.740736	88.200026	3100	theta2
-29.740736	91.799513	3105	theta2
-29.740736	95.399001	3076	theta2
-29.740736	98.998489	3056	theta2
-29.740736	102.597976	3027	theta2
-29.740736	106.197464	2911	theta2
-29.740736	109.796951	2940	theta2
-29.740736	113.396439	2830	theta2
-29.740736	116.995927	2706	theta2
-29.740736	120.595414	2642	theta2
-29.740736	124.194902	2494	theta2
-29.740736	127.794389	2410	theta2
-29.740736	131.393877	2327	theta2
-29.740736	134.993365	2106	theta2
-29.740736	138.592852	2020	theta2
-29.740736	142.192340	1838	theta2
-29.740736	145.791828	1720	theta2
-29.740736	149.391315	1550	theta2
-29.740736	152.990803	1370	theta2
-29.740736	156.590290	1157	theta2
-29.740736	160.189778	1023	theta2
-29.740736	163.789266	858	theta2
-29.740736	167.388753	621	theta2
-29.740736	170.988241	443	theta2
-29.740736	174.587728	304	theta2
-29.740736	178.187216	98	theta2
-26.719166	1.812323	41	theta2
-26.719166	5.411811	149	theta2
-26.719166	9.011298	236	theta2
-26.719166	12.610786	357	theta2
-26.719166	16.210274	495	theta2
-26.719166	19.809761	584	theta2
-26.719166	23.409249	683	theta2
-26.719166	27.008736	797	theta2
-26.719166	30.608224	828	theta2
-26.719166	34.207712	991	theta2
-26.719166	37.807199	1116	theta2
-26.719166	41.406687	1276	theta2
-26.719166	45.006175	1376	theta2
-26.719166	48.605662	1495	theta2
-26.719166	52.205150	1618	theta2
-26.719166	55.804637	1704	theta2
-26.719166	59.404125	1805	theta2
-26.719166	63.003613	1957	theta2
-26.719166	66.603100	2019	theta2
-26.719166	70.202588	2214	theta2
-26.719166	73.802075	2327	theta2
-26.719166	77.401563	2328	theta2
-26.719166	81.001051	2390	theta2
-26.719166	84.600538	2485	theta2
-26.719166	88.200026	2514	theta2
-26.719166	91.799513	2606	theta2
-26.719166	95.399001	2694	theta2
-26.719166	98.998489	2647	theta2
-26.719166	102.597976	2684	theta2
-26.719166	106.197464	2661	theta2
-26.719166	109.796951	2666	theta2
-26.719166	113.396439	2510	theta2
-26.719166	116.995927	2544	theta2
-26.719166	120.595414	2581	theta2
-26.719166	124.194902	2357	theta2
-26.719166	127.794389	2379	theta2
-26.719166	131.393877	2198	theta2
-26.719166	134.993365	2073	theta2
